isomeric SMILES(NB),isomeric SMILES(Tz),dielectric constant,"ET(30), kcal/mol",temperature(K),Rate Constant (k₂) M-1s-1,error
C1[CH]2C=CC1C[C@@H]2C(=O)O,C1=CC=C(N=C1)C1=NN=C(N=N1)C1=CC=CC=N1,76.115,62.72,294,1.3,0.02
COC(=O)[C@H]1CC2CC1C=C2,C1=CC=C(N=C1)C1=NN=C(N=N1)C1=CC=CC=N1,76.115,62.72,294,0.56,0.005
O[CH2][C@H]1CC2C=CC1C2,C1=CC=C(N=C1)C1=NN=C(N=N1)C1=CC=CC=N1,76.115,62.72,294,5.2,0.13
O[CH2][C@@H]1CC2C=CC1C2,C1=CC=C(N=C1)C1=NN=C(N=N1)C1=CC=CC=N1,76.115,62.72,294,1.76,0.013
C[C@@H]1C2CC([C@H]1C(=O)OC)C=C2,C1=CC=C(N=C1)C1=NN=C(N=N1)C1=CC=CC=N1,76.115,62.72,294,0.29,0.033
C[C@@H]1C2CC([C@H]1CO)C=C2,C1=CC=C(N=C1)C1=NN=C(N=N1)C1=CC=CC=N1,76.115,62.72,294,1.43,0.02
COC(=O)[C@H]1CC2C=CC1O2  ,C1=CC=C(N=C1)C1=NN=C(N=N1)C1=CC=CC=N1,76.115,62.72,294,0.49,0.004
OC[C@H]1CC2C=CC1O2,C1=CC=C(N=C1)C1=NN=C(N=N1)C1=CC=CC=N1,76.115,62.72,294,1.78,0.007
COC(=O)C\N1CC2CC1C=C2,C1=CC=C(N=C1)C1=NN=C(N=N1)C1=CC=CC=N1,76.115,62.72,294,0.12,0.001
C1C2C=CC1C3C2C/N(C3)O,C1=CC=C(N=C1)C1=NN=C(N=N1)C1=CC=CC=N1,76.115,62.72,294,0.05,0.002
CCOC(=O)[CH]1[C@@H]2[C@H]1[CH]3C[CH]2C=C3,C1=CC=C(N=C1)C1=NN=C(N=N1)C1=CC=CC=N1,76.115,62.72,294,0.43,0.007
C1[CH]2C=C[CH]1[C@H]3[C@@H]2[CH]3CO,C1=CC=C(N=C1)C1=NN=C(N=N1)C1=CC=CC=N1,76.115,62.72,294,4.55,0.087
OC[C@H]1[C@H]2CC#CC[C@@H]12,C1=CN=C(N=C1)C2=NN=C(N=N2)C3=CC=C(C=C3)C(F)(F)F,32.7,55.5,298,125,0
OC[C@H]1[C@H]2CC#CC[C@@H]12,C1=CC=NC(=C1)C2=NN=C(N=N2)C3=CC=CC=N3,32.7,55.5,298,118,0
OC[C@H]1[C@H]2CC#CC[C@@H]12,C1=CC=NC(=C1)C2=NN=C(N=N2)C3=CC=C(C=C3)F,32.7,55.5,298,23,0
OC[C@H]1[C@H]2CC#CC[C@@H]12,C1=CC(=CC=C1C2=NN=C(N=N2)C3=CC=C(C=C3)C(F)(F)F)C(F)(F)F,32.7,55.5,298,10,0
OC[C@H]1[C@H]2CC#CC[C@@H]12,C1=CC=C(C=C1)C2=NN=C(N=N2)C3=CC=CC=C3,32.7,55.5,298,3.6,0
OC[C@H]1[C@H]2CC#CC[C@@H]12,C1=CC=C(C=C1)C2=NN=C(N=N2)C3=CC=CC=C3,35.7,45.6,298,1.2,0
OC[C@H]1[C@H]2CC#CC[C@@H]12,C1=CC(=CC=C1C2=NN=C(N=N2)C3=CC=C(C=C3)F)F,32.7,55.5,298,2.7,0
OC[C@H]1[C@H]2CC#CC[C@@H]12,C1=CC(=CC=C1C2=NN=C(N=N2)C3=CC=C(C=C3)F)F,35.7,45.6,298,1.4,0
OC[C@H]1[C@H]2CC#CC[C@@H]12,C1=CC(=CC=C1C2=NN=C(N=N2)C3=CC=C(C=C3)O)O,32.7,55.5,298,0.58,0
OC[C@H]1[C@H]2CC#CC[C@@H]12,C1=CC(=CC=C1C2=NN=C(N=N2)C3=CC=C(C=C3)O)O,35.7,45.6,298,0.36,0
OC[C@H]1[C@H]2CC#CC[C@@H]12,COC1=CC=C(C=C1)C2=NN=C(N=N2)C3=CC=C(C=C3)OC,32.7,55.5,298,1.4,0
OC[C@H]1[C@H]2CC#CC[C@@H]12,COC1=CC=C(C=C1)C2=NN=C(N=N2)C3=CC=C(C=C3)OC,35.7,45.6,298,0.16,0
OC[C@H]1[C@H]2CC#CC[C@@H]12,C1=CC(=C(C=C1C2=NN=C(N=N2)C3=CC(=C(C=C3)O)[N+](=O)[O-])[N+](=O)[O-])O,32.7,55.5,298,2.3,0
C1C2CC(C1C=C2)C(=O)O,C1=CC=C(C=C1)C2=NN=C(N=N2)C3=CC=CC=C3,32.7,45.6,298,0.0085,0
C1C2CC(C1C=C2)C(=O)O,C1=CC(=CC=C1C2=NN=C(N=N2)C3=CC=C(C=C3)C(F)(F)F)C(F)(F)F,32.7,55.5,298,0.039,0
C1C2CC(C1C=C2)C(=O)O,C1=CC=NC(=C1)C2=NN=C(N=N2)C3=CC=C(C=C3)F,32.7,45.6,298,0.056,0
C1C2CC(C1C=C2)C(=O)O,C1=CC=NC(=C1)C2=NN=C(N=N2)C3=CC=CC=N3,32.7,55.5,298,0.65,0
C1C2CC(C1C=C2)C(=O)O,C1=CN=C(N=C1)C2=NN=C(N=N2)C3=CC=C(C=C3)C(F)(F)F,32.7,45.6,298,0.61,0
